iter	Passed	Remaining
0	61	61858
1	105	52623
2	150	50031
3	195	48648
4	237	47265
5	282	46827
6	339	48182
7	383	47543
8	426	46932
9	467	46320
10	517	46497
11	580	47761
12	639	48528
13	687	48420
14	739	48591
15	796	49001
16	847	49022
17	917	50053
18	988	51022
19	1049	51422
20	1094	51020
21	1135	50484
22	1177	50005
23	1217	49529
24	1260	49169
25	1306	48951
26	1358	48945
27	1403	48716
28	1442	48306
29	1485	48030
30	1529	47793
31	1571	47524
32	1617	47383
33	1657	47092
34	1703	46975
35	1747	46788
36	1787	46518
37	1833	46418
38	1870	46103
39	1916	45994
40	1957	45789
41	2000	45638
42	2039	45398
43	2081	45227
44	2125	45098
45	2167	44952
46	2206	44742
47	2248	44594
48	2291	44468
49	2334	44354
50	2376	44218
51	2419	44113
52	2461	43984
53	2500	43807
54	2536	43577
55	2574	43395
56	2609	43166
57	2653	43096
58	2695	42984
59	2736	42870
60	2777	42751
61	2817	42630
62	2858	42514
63	2896	42356
64	2941	42309
65	2983	42214
66	3023	42100
67	3063	41993
68	3104	41888
69	3142	41749
70	3184	41670
71	3224	41560
72	3262	41429
73	3305	41363
74	3343	41230
75	3381	41106
76	3422	41028
77	3464	40950
78	3506	40882
79	3546	40781
80	3583	40658
81	3625	40588
82	3663	40476
83	3700	40348
84	3748	40347
85	3789	40273
86	3826	40161
87	3866	40069
88	3906	39982
89	3945	39895
90	3984	39800
91	4024	39724
92	4071	39709
93	4113	39647
94	4154	39580
95	4200	39550
96	4241	39488
97	4283	39429
98	4324	39359
99	4369	39327
100	4414	39294
101	4457	39240
102	4497	39168
103	4537	39096
104	4573	38986
105	4607	38858
106	4645	38769
107	4685	38695
108	4725	38628
109	4762	38534
110	4801	38451
111	4838	38363
112	4877	38289
113	4914	38194
114	4958	38155
115	4995	38068
116	5034	37999
117	5075	37934
118	5116	37876
119	5155	37804
120	5194	37736
121	5234	37673
122	5276	37622
123	5314	37544
124	5354	37482
125	5393	37411
126	5430	37327
127	5469	37263
128	5508	37191
129	5545	37110
130	5583	37040
131	5622	36969
132	5659	36890
133	5701	36845
134	5740	36784
135	5780	36720
136	5821	36671
137	5860	36608
138	5901	36553
